"","x","y","spatial_cluster"
"cell526",849.94813124463,-3559.05577363446,"12"
"cell527",756.852128829807,-3546.09577329829,"12"
"cell530",693.294127181172,-3631.63177551702,"12"
"cell532",751.452128689736,-3655.93177614734,"12"
"cell536",794.544129807502,-3691.89037708007,"12"
"cell539",713.598127707839,-3559.91977365687,"12"
"cell543",700.584127370268,-3668.94577648491,"12"
"cell545",706.308127518743,-3506.35177226737,"12"
"cell548",796.421134855598,-3801.06225711107,"12"
"cell552",787.943134635687,-3794.15025693178,"12"
"cell553",716.177132774144,-3699.81225448474,"12"
"cell554",710.885132636875,-3715.95825490355,"12"
"cell555",683.615131929517,-3789.66825681552,"12"
"cell556",841.727136030793,-3774.17025641352,"12"
"cell558",755.273133788258,-3738.53025548905,"12"
"cell560",704.297132465988,-3733.72425536439,"12"
"cell563",839.243135966361,-3748.89825575799,"12"
"cell564",819.587135456502,-3887.1382593438,"12"
"cell569",788.9151346609,-3711.3682547845,"12"
"cell571",770.339134179056,-3701.86425453797,"12"
"cell572",747.713133592159,-3869.96625889838,"12"
"cell574",734.537133250386,-3723.57225510105,"12"
"cell578",817.751135408878,-3748.89825575799,"12"
"cell580",821.099135495722,-3869.42625888437,"12"
"cell583",748.685133617371,-3877.63425909728,"12"
"cell586",703.109132435173,-3779.67825655639,"12"
"cell587",747.82113359496,-3762.66825611517,"12"
"cell588",732.539133198559,-3783.94425666705,"12"
"cell593",768.773134138435,-3719.4142549932,"12"
"cell600",792.101134743541,-3818.0182575509,"12"
"cell604",739.073133368045,-3691.92825428024,"12"
"cell605",830.81913574785,-3854.14425848797,"12"
"cell608",809.003135181963,-3827.68425780162,"12"
"cell610",815.267135344446,-3776.92425648496,"12"
"cell612",810.623135223985,-3761.15625607595,"12"
"cell614",724.897103827447,-3974.02857865393,"12"
"cell618",758.593104701489,-4045.57858050987,"13"
"cell630",701.839103229344,-3974.83857867494,"12"
"cell633",711.343103475869,-3941.68257781491,"12"
"cell635",711.289103474468,-3994.3325791806,"12"
"cell641",753.463104568422,-3900.91257675737,"12"
"cell642",731.053103987128,-4061.83258093148,"13"
"cell644",831.061106581241,-3921.10857728124,"12"
"cell647",744.067104324698,-3925.26657738909,"12"
"cell654",713.071103520691,-4060.75258090347,"13"
"cell657",745.255104355514,-3908.74257696047,"12"
"cell658",731.431103996933,-4083.75658150017,"13"
"cell664",732.133104015142,-4033.48258019611,"13"
"cell673",802.009105827659,-3931.26057754457,"12"
"cell676",745.633104365319,-3936.01257766783,"12"
"cell677",716.79710361734,-3950.97057805583,"12"
"cell685",770.365105006844,-3990.60657908395,"13"
"cell690",731.26910399273,-3890.49057648703,"12"
"cell695",802.211040060967,-4174.23351613432,"13"
"cell702",789.251039724797,-4183.62951637805,"13"
"cell707",815.765040412545,-4146.85551542416,"13"
"cell709",767.327039156109,-4265.76351850852,"13"
"cell711",796.271039906889,-4270.02951861918,"13"
"cell714",767.597039163113,-4135.67751513422,"13"
"cell716",811.607040304691,-4239.41151782498,"13"
"cell717",793.031039822847,-4148.47551546618,"13"
"cell722",787.793039686978,-4228.98951755464,"13"
"cell723",824.027040626854,-4257.55551829562,"13"
"cell726",742.325038507581,-4126.44351489469,"13"
"cell734",752.855038780719,-4238.54751780257,"13"
"cell742",768.029039174318,-4278.9395188503,"13"
"cell744",761.765039011836,-4290.38751914725,"13"
"cell752",796.865039922297,-4234.60551770031,"13"
"cell753",739.463038433343,-4170.23751603067,"13"
"cell756",742.649038515985,-4117.64151466638,"13"
"cell758",744.431038562208,-4100.30751421675,"13"
"cell760",755.663038853556,-4223.64351741597,"13"
"cell766",766.6250391379,-4192.48551660776,"13"
"cell769",774.401039339602,-4123.14951480925,"13"
"cell781",770.193352814764,-4312.10734067857,"13"
"cell793",811.449353884906,-4434.14734384418,"13"
"cell799",804.591353707016,-4382.14534249529,"13"
"cell802",785.961353223771,-4319.82934087887,"13"
"cell816",799.893353585154,-4399.37134294212,"13"
"cell827",762.525352615863,-4337.0553413257,"13"
"cell831",774.999352939427,-4348.34134161845,"13"
"cell835",813.447353936732,-4342.34734146297,"13"
"cell837",779.04935304448,-4365.62134206668,"13"
"cell846",713.871351353824,-4330.03534114361,"13"
"cell889",798.729120854288,-4796.01666311175,"13"
"cell921",731.607119113207,-4813.29666355997,"13"
"cell1014",956.910236299038,-5380.46843988821,"13"
"cell1023",983.208236981183,-5410.6004406698,"13"
"cell1063",1016.5294867456,-5132.34588006884,"13"
"cell1064",995.145486190915,-5239.42788284644,"13"
"cell1082",899.3495070301,-4994.56044030562,"13"
