"","x","y","spatial_cluster"
"1",22.3333333333333,9.33333333333333,"4"
"2",11.3333333333333,9.33333333333333,"4"
"3",19.3333333333333,9.33333333333333,"4"
"4",18.3333333333333,9.33333333333333,"4"
"5",21.3333333333333,9.33333333333333,"4"
"6",23.3333333333333,9.33333333333333,"4"
"7",14.3333333333333,9.33333333333333,"4"
"8",17.3333333333333,9.33333333333333,"1"
"9",24.3333333333333,9.33333333333333,"4"
"10",15.3333333333333,9.33333333333333,"1"
"11",12.3333333333333,9.33333333333333,"4"
"12",13.3333333333333,9.33333333333333,"4"
"13",20.3333333333333,9.33333333333333,"4"
"14",16.3333333333333,9.33333333333333,"1"
"15",22.3333333333333,10.3333333333333,"4"
"16",31.3333333333333,10.3333333333333,"4"
"17",20.3333333333333,10.3333333333333,"4"
"18",11.3333333333333,10.3333333333333,"4"
"19",21.3333333333333,10.3333333333333,"4"
"20",29.3333333333333,10.3333333333333,"4"
"21",17.3333333333333,10.3333333333333,"1"
"22",19.3333333333333,10.3333333333333,"4"
"23",27.3333333333333,10.3333333333333,"4"
"24",28.3333333333333,10.3333333333333,"4"
"25",16.3333333333333,10.3333333333333,"1"
"26",24.3333333333333,10.3333333333333,"4"
"27",18.3333333333333,10.3333333333333,"1"
"28",26.3333333333333,10.3333333333333,"4"
"29",8.33333333333333,10.3333333333333,"4"
"30",9.33333333333333,10.3333333333333,"4"
"31",15.3333333333333,10.3333333333333,"1"
"32",10.3333333333333,10.3333333333333,"4"
"33",7.33333333333333,10.3333333333333,"1"
"34",6.33333333333333,10.3333333333333,"1"
"35",12.3333333333333,10.3333333333333,"4"
"36",14.3333333333333,10.3333333333333,"4"
"37",25.3333333333333,10.3333333333333,"4"
"38",23.3333333333333,10.3333333333333,"4"
"39",13.3333333333333,10.3333333333333,"4"
"40",22.3333333333333,11.3333333333333,"4"
"41",32.3333333333333,11.3333333333333,"4"
"42",21.3333333333333,11.3333333333333,"4"
"43",31.3333333333333,11.3333333333333,"4"
"44",27.3333333333333,11.3333333333333,"4"
"45",29.3333333333333,11.3333333333333,"4"
"46",28.3333333333333,11.3333333333333,"4"
"47",6.33333333333333,11.3333333333333,"4"
"48",30.3333333333333,11.3333333333333,"4"
"49",7.33333333333333,11.3333333333333,"4"
